epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.48406,1.43494,3.87683,1.3386,0.00536,0.44545,0.18879,0.09195,1.07564,3.67022,1.06471,0.00021109,0.00021109,0.00021109
2,12.6299,1.16791,2.25853,1.06978,0.97697,0.17548,0.58608,0.37804,1.0173,2.72252,1.01131,0.000424711,0.000424711,0.000424711
3,16.7313,1.12987,1.72038,1.05083,0.87518,0.41625,0.66946,0.44715,1.07011,2.14266,1.01556,0.000629533,0.000629533,0.000629533
4,20.7565,1.08511,1.376,1.00949,0.9598,0.51367,0.67207,0.47139,1.07229,1.95376,1.01536,0.000825555,0.000825555,0.000825555
5,24.6197,1.07095,1.35493,1.01596,0.91589,0.45239,0.65855,0.4744,1.00019,1.97663,1.00875,0.00101278,0.00101278,0.00101278
6,28.6294,1.02232,1.22137,0.98944,0.85729,0.60949,0.71743,0.52042,0.9888,1.52989,0.98923,0.00100101,0.00100101,0.00100101
7,32.7144,0.99731,1.17041,1.00491,0.86974,0.6582,0.75785,0.56746,0.89081,1.30759,0.94962,0.000979013,0.000979013,0.000979013
8,36.7645,0.98628,1.13681,0.99287,0.94801,0.71048,0.77085,0.58813,0.8479,1.08216,0.94475,0.000957015,0.000957015,0.000957015
9,40.7686,0.95811,1.06631,1.00417,0.92871,0.72099,0.77589,0.58212,0.88653,1.05423,0.95089,0.000935018,0.000935018,0.000935018
10,44.8031,0.94366,1.01392,0.9779,0.9395,0.75157,0.77322,0.57749,0.84792,0.93502,0.9462,0.00091302,0.00091302,0.00091302
11,48.8305,0.91132,0.97939,0.97179,0.95912,0.77135,0.78838,0.59617,0.81791,0.78387,0.92417,0.000891022,0.000891022,0.000891022
12,52.7771,0.91083,0.96932,0.96618,0.95924,0.77888,0.79021,0.61156,0.77138,0.75014,0.90954,0.000869024,0.000869024,0.000869024
13,56.8118,0.88746,0.93659,0.96087,0.95606,0.77881,0.79084,0.61645,0.76296,0.75671,0.90913,0.000847026,0.000847026,0.000847026
14,60.8019,0.87536,0.89167,0.95479,0.95414,0.78078,0.79221,0.62051,0.75596,0.71774,0.9049,0.000825029,0.000825029,0.000825029
15,64.9899,0.84651,0.86043,0.94815,0.9609,0.77923,0.79528,0.62958,0.73727,0.72393,0.89708,0.000803031,0.000803031,0.000803031
16,69.209,0.84843,0.84276,0.94656,0.96372,0.7743,0.79747,0.62841,0.73999,0.6775,0.89408,0.000781033,0.000781033,0.000781033
17,73.5182,0.84118,0.84688,0.94559,0.97731,0.78158,0.79636,0.64733,0.7037,0.65659,0.89309,0.000759035,0.000759035,0.000759035
18,77.6159,0.81413,0.83872,0.94278,0.97665,0.78135,0.79401,0.63123,0.73027,0.65883,0.90148,0.000737037,0.000737037,0.000737037
19,81.7587,0.82527,0.82311,0.94813,0.96596,0.77757,0.79145,0.63702,0.69155,0.65391,0.88944,0.00071504,0.00071504,0.00071504
20,85.7924,0.82086,0.81699,0.94041,0.96438,0.78452,0.79165,0.63178,0.71282,0.64304,0.89173,0.000693042,0.000693042,0.000693042
21,89.9514,0.79499,0.78604,0.92844,0.97801,0.78669,0.79675,0.6526,0.65896,0.60356,0.87755,0.000671044,0.000671044,0.000671044
22,93.8734,0.77012,0.75454,0.92355,0.98192,0.78596,0.79629,0.65139,0.66036,0.59053,0.87387,0.000649046,0.000649046,0.000649046
23,97.8923,0.78131,0.7874,0.92804,0.97939,0.77892,0.79639,0.65455,0.64992,0.62631,0.87548,0.000627048,0.000627048,0.000627048
24,101.97,0.78269,0.78621,0.93587,0.96906,0.7815,0.79529,0.65913,0.63931,0.59476,0.88148,0.000605051,0.000605051,0.000605051
25,105.809,0.79688,0.78219,0.9311,0.97404,0.78111,0.7984,0.65341,0.64394,0.59596,0.87524,0.000583053,0.000583053,0.000583053
26,109.534,0.78276,0.74571,0.92484,0.98514,0.78,0.79973,0.66044,0.64338,0.55239,0.86692,0.000561055,0.000561055,0.000561055
