epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7573,1.42563,3.23258,1.27616,0.85234,0.25923,0.52781,0.33502,1.25457,2.66092,1.12911,0.000408654,0.000408654,0.000408654
2,24.0118,1.26167,1.81747,1.12153,0.8477,0.5216,0.59984,0.40155,1.21264,1.97467,1.11653,0.000808979,0.000808979,0.000808979
3,33.4802,1.23756,1.53754,1.12226,0.87279,0.6012,0.64827,0.43743,1.13235,1.35798,1.07722,0.0011928,0.0011928,0.0011928
4,42.7615,1.23853,1.50454,1.13338,0.92236,0.61225,0.67791,0.44521,1.16626,1.35971,1.06102,0.00117575,0.00117575,0.00117575
5,51.9136,1.20722,1.39462,1.11735,0.85926,0.62815,0.67095,0.45407,1.0961,1.13274,1.05252,0.001151,0.001151,0.001151
6,61.102,1.19986,1.28759,1.11145,0.94335,0.66559,0.70945,0.49967,1.03097,0.96676,1.00997,0.00112625,0.00112625,0.00112625
7,70.1915,1.17551,1.2215,1.10103,0.93482,0.65936,0.70178,0.49007,1.04171,0.96786,1.02359,0.0011015,0.0011015,0.0011015
8,79.2963,1.17088,1.16709,1.10513,0.92375,0.65905,0.70229,0.49056,1.05993,0.94513,1.0405,0.00107675,0.00107675,0.00107675
9,88.403,1.12746,1.07358,1.07892,0.96161,0.68473,0.72107,0.51319,1.01553,0.79798,1.02534,0.001052,0.001052,0.001052
10,97.411,1.0777,1.04688,1.06369,0.94559,0.68315,0.73892,0.51746,1.0271,0.79863,1.01166,0.00102725,0.00102725,0.00102725
11,106.401,1.10042,0.99941,1.07023,0.93667,0.67384,0.78286,0.57455,0.97295,0.76568,1.00686,0.0010025,0.0010025,0.0010025
12,115.365,1.08733,0.96484,1.06302,0.94295,0.6926,0.73725,0.53162,0.94777,0.72943,0.99661,0.00097775,0.00097775,0.00097775
13,124.584,1.04456,0.94127,1.04802,0.95212,0.69066,0.72553,0.53752,0.93059,0.68927,1.00738,0.000953,0.000953,0.000953
14,133.563,1.05568,0.9082,1.06066,0.96414,0.68207,0.7359,0.5398,0.9442,0.68925,1.01787,0.00092825,0.00092825,0.00092825
15,142.665,1.05378,0.87512,1.04762,0.93872,0.67031,0.71919,0.52124,0.96095,0.73374,1.02117,0.0009035,0.0009035,0.0009035
16,151.687,1.06144,0.86153,1.05896,0.95926,0.70735,0.75133,0.56337,0.89494,0.61728,0.98441,0.00087875,0.00087875,0.00087875
17,160.738,1.04604,0.84478,1.04324,0.97319,0.71043,0.75198,0.56643,0.89232,0.58623,0.98515,0.000854,0.000854,0.000854
18,169.822,0.99523,0.80242,1.03784,0.96522,0.71815,0.74631,0.57306,0.85812,0.56339,0.96422,0.00082925,0.00082925,0.00082925
19,178.879,0.97391,0.77687,1.02672,0.97559,0.70932,0.77786,0.59689,0.86639,0.57727,0.981,0.0008045,0.0008045,0.0008045
20,187.841,0.97533,0.76235,1.01671,0.97835,0.71144,0.74184,0.56391,0.85996,0.55785,0.97577,0.00077975,0.00077975,0.00077975
21,196.862,0.98083,0.747,1.01728,0.97652,0.71964,0.74384,0.5756,0.84228,0.51868,0.96895,0.000755,0.000755,0.000755
22,205.815,0.96558,0.74489,1.02809,0.97609,0.71633,0.75064,0.5823,0.83878,0.5157,0.97228,0.00073025,0.00073025,0.00073025
23,214.829,0.9477,0.72225,1.01504,0.97203,0.7197,0.75044,0.57069,0.87287,0.53134,0.98182,0.0007055,0.0007055,0.0007055
24,223.795,0.94278,0.70259,1.00042,0.97403,0.72215,0.74508,0.57443,0.85013,0.50624,0.96319,0.00068075,0.00068075,0.00068075
25,232.76,0.97802,0.73279,1.02239,0.98136,0.72456,0.75083,0.59466,0.80881,0.49309,0.94622,0.000656,0.000656,0.000656
26,241.752,0.93892,0.69567,1.00432,0.97372,0.72699,0.75816,0.60248,0.78453,0.4777,0.93159,0.00063125,0.00063125,0.00063125
27,250.802,0.91447,0.66851,1.00336,0.97531,0.73085,0.74648,0.59296,0.78372,0.46914,0.93637,0.0006065,0.0006065,0.0006065
28,259.686,0.92723,0.67966,1.00476,0.98342,0.72369,0.75326,0.59717,0.78986,0.46396,0.95389,0.00058175,0.00058175,0.00058175
29,268.517,0.90971,0.63745,1.00007,0.97092,0.7378,0.76215,0.60832,0.77649,0.45357,0.93291,0.000557,0.000557,0.000557
30,277.465,0.92192,0.65397,0.99322,0.97927,0.73652,0.75558,0.60109,0.77815,0.45215,0.9287,0.00053225,0.00053225,0.00053225
31,286.277,0.89844,0.64041,0.99653,0.98491,0.72868,0.76459,0.61348,0.76535,0.43247,0.93666,0.0005075,0.0005075,0.0005075
32,295.456,0.88289,0.65578,0.99168,0.98064,0.73418,0.86787,0.71493,0.73397,0.43871,0.9253,0.00048275,0.00048275,0.00048275
33,304.292,0.8787,0.59838,0.98694,0.98991,0.73009,0.8275,0.68599,0.72483,0.41248,0.92021,0.000458,0.000458,0.000458
34,313.35,0.8662,0.60302,0.98324,0.98787,0.73092,0.76982,0.63985,0.70824,0.4124,0.90479,0.00043325,0.00043325,0.00043325
35,322.238,0.8723,0.60919,0.98924,0.9859,0.73491,0.76731,0.63737,0.70264,0.40255,0.90434,0.0004085,0.0004085,0.0004085
36,331.205,0.83187,0.56343,0.97041,0.99042,0.73515,0.77254,0.64832,0.68383,0.39888,0.9061,0.00038375,0.00038375,0.00038375
37,340.146,0.85202,0.60018,0.9792,0.98907,0.73608,0.76567,0.63933,0.6914,0.39903,0.91157,0.000359,0.000359,0.000359
38,349.047,0.83506,0.56329,0.9662,0.98294,0.74106,0.7596,0.63191,0.68964,0.39783,0.90912,0.00033425,0.00033425,0.00033425
39,358.057,0.83929,0.55619,0.97332,0.99306,0.73793,0.75549,0.6322,0.68185,0.38469,0.90324,0.0003095,0.0003095,0.0003095
40,367.127,0.80773,0.54413,0.96732,0.98937,0.74271,0.76823,0.64245,0.67977,0.37608,0.90505,0.00028475,0.00028475,0.00028475
41,399.599,0.79626,0.5316,0.96657,0.9908,0.73848,0.76804,0.64082,0.6904,0.38262,0.89759,0.00026,0.00026,0.00026
42,408.549,0.79273,0.52039,0.96307,0.99099,0.73476,0.75622,0.63139,0.6727,0.39045,0.89814,0.00023525,0.00023525,0.00023525
43,417.602,0.77667,0.51012,0.94854,0.99072,0.74082,0.77283,0.64812,0.66264,0.37991,0.89312,0.0002105,0.0002105,0.0002105
44,426.689,0.76288,0.49471,0.95151,0.99186,0.7409,0.80785,0.68347,0.66085,0.36342,0.89436,0.00018575,0.00018575,0.00018575
45,435.745,0.75785,0.47726,0.94757,0.99332,0.73839,0.77683,0.66235,0.64205,0.3603,0.89002,0.000161,0.000161,0.000161
46,444.649,0.74325,0.49186,0.9481,0.99518,0.74282,0.7873,0.67432,0.63316,0.35543,0.88908,0.00013625,0.00013625,0.00013625
